conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1654063279071989763,Thu May 04 09:59:51 +0000 2023,0,Pertama kali try app ni biasa terus AirAsia..kita tgk sampai destinasi ke tk next week... #misiterbanglagidanlagi... https://t.co/FvlODiRzuM,1654063279071989763,https://pbs.twimg.com/media/FvRpyUOaAAAru8C.jpg,NaN,in,NaN,0,0,0,https://x.com/amrimustafa663/status/1654063279071989763,1470431026119786496,amrimustafa663
1654046308154626053,Thu May 04 08:52:25 +0000 2023,0,5 Aplikasi Ojek Online Saingan Gojek dan Grab Driver Bisa Jadi Karyawan #Digitalapps #apps #airasia #anterin #aplikasi #Gojek #Grab #InDriver #Jeggboy #Maxim #ojekonline #Ojol https://t.co/4A3DE7f7WA lewat @selularid,1654046308154626053,NaN,NaN,in,NaN,0,0,0,https://x.com/SelularID/status/1654046308154626053,57223495,SelularID
1653334415702097920,Thu May 04 08:36:05 +0000 2023,1,@TajuddinKamil @Bossbm17 @anthonyloke @AVA_airasia @tonyfernandes_ Xpayahla naik airasia.. biar la diaorg kena hentam dgn foreigners. Msian naik la MAS,1654042199619964929,NaN,TajuddinKamil,in,NaN,0,0,1,https://x.com/ElCapitano126/status/1654042199619964929,944448516914479105,ElCapitano126
1654032212764020736,Thu May 04 08:06:29 +0000 2023,0,@rizkaskr Hai sobat tiket Semoga sehat selalu. Maaf atas kendalanya untuk info terbaru terminal keberangkatan maskapai Airasia rute Internasional bandara Soekarno-Hatta yaitu Terminal 2F ya. (1/2),1654034749516660737,NaN,rizkaskr,in,Indonesia,0,0,0,https://x.com/tiket/status/1654034749516660737,276788200,tiket
1654032212764020736,Thu May 04 07:56:24 +0000 2023,0,kalo airasia internasional udah pindah ke soetta T2F kenapa di @tiket masih di T3 ya tulisannya ,1654032212764020736,NaN,NaN,in,NaN,0,2,0,https://x.com/rizkaskr/status/1654032212764020736,367128805,rizkaskr
1653968674099957760,Thu May 04 07:26:47 +0000 2023,0,@yosefkristiano @airasia_indo Penang,1654024760895078401,NaN,yosefkristiano,in,Bandung, Jawa Barat,0,0,0,https://x.com/arievrahman/status/1654024760895078401,"79921163,arievrahman"
1654023226635481089,Thu May 04 07:20:42 +0000 2023,9,Jangan lewatkan kesempatan bersenang-senang jelajahi indahnya Labuan Bajo! ️ Rute Baru AirAsia Jakarta - Labuan Bajo (PP) terbang mulai 16 Juni 2023 4x seminggu mulai Rp1 5juta. Gratis 7kg Bagasi Kabin &amp; 20kg Check-In Bagasi ️ So siap mengunjungi Bukit Cinta Pulau Kelor https://t.co/gE3GWiCscS,1654023226635481089,https://pbs.twimg.com/amplify_video_thumb/1654023081718083584/img/9DRxQ1VaW2dQmSA4.jpg,NaN,in,Indonesia,0,2,2,https://x.com/airasia_indo/status/1654023226635481089,113292385,airasia_indo
1653968674099957760,Thu May 04 07:19:50 +0000 2023,0,@arievrahman @airasia_indo wkwkw bener ya survei lokasi. eh serius kalo first timer mending mana?,1654023008342908932,NaN,arievrahman,in,Bandung, Jawa Barat,0,1,0,https://x.com/yosefkristiano/status/1654023008342908932,"4383885612,yosefkristiano"
1653968674099957760,Thu May 04 07:19:16 +0000 2023,0,@Nugisuke @airasia_indo Cikattt,1654022867846303745,NaN,Nugisuke,in,Bandung, Jawa Barat,0,0,0,https://x.com/arievrahman/status/1654022867846303745,"79921163,arievrahman"
1653977434927288322,Thu May 04 04:18:44 +0000 2023,0,Terbang dari #Kuching ke #KualaLumpur ️ serendah RM28.00 sehala ️ #airasia #KCH #KUL #Malaysia 🇲🇾 #Sarawak #KualaLumpur #airasiaSuperApp https://t.co/GHNuLgwMTL,1653977434927288322,https://pbs.twimg.com/media/FvQbtgmaMAAFHig.jpg,NaN,in,Kuching, Sarawak, Malaysia,0,0,0,"https://x.com/hafidz2112/status/1653977434927288322,97230351,hafidz2112"
1653975765132931072,Thu May 04 04:12:06 +0000 2023,3,Indonesia AirAsia to commence Jakarta-Kuching flight next month https://t.co/4RoMVW5y0o,1653975765132931072,NaN,NaN,in,Kuala Lumpur, Malaysia,0,0,2,https://x.com/thevibesnews/status/1653975765132931072,"1300483034739691520,thevibesnews"
