"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1277725917427585024","Mon Jun 29 22:09:32 +0000 2020","0","@AirAsia @AirAsiaSupport management bahagian schedule flight kau orang ni memang jenis benak sesuka hati tukar waktu flight ke macam mana? flight petang terus jadi pagi. Lepas tu inform last minutes macam ni. Kau orang memang jenis tak hormat waktu orang lain eh?","1277725917427585024","","airasia","in","Kuala Lumpur, Malaysia","0","0","0","https://x.com/akudiraf/status/1277725917427585024","128763683","akudiraf"
"1277683412518789121","Mon Jun 29 19:20:38 +0000 2020","0","airasia energy","1277683412518789121","","","in","active on @mymelojm","0","0","0","https://x.com/jiminiu/status/1277683412518789121","1187764150254166017","jiminiu"
"1277677815379288066","Mon Jun 29 18:58:23 +0000 2020","0","AirAsia touches down in Fukuoka ___ #TravelLocal with #GayaTravel https://t.co/Imbr3GllDb","1277677815379288066","","","in","Kuala Lumpur, Malaysia","0","0","0","https://x.com/gayatravel/status/1277677815379288066","78217364","gayatravel"
"1277663184338382848","Mon Jun 29 18:00:15 +0000 2020","0","@AirAsia @AirAsiaSupport this is my pnr no LTN8SY. Mera ticket 5 July ka ta goa to Guwahati k leye.but airasia se message aya mera ticket cancel hua vol k .mujhe reshedule kar na hai .july date 2 or 3 or 4 or 5 ka ...air lines per phone recv nehi kar raha hai","1277663184338382848","","airasia","in","","0","0","0","https://x.com/rufulahmed7861/status/1277663184338382848","3396102581","rufulahmed7861"
"1277662882084225024","Mon Jun 29 17:59:03 +0000 2020","0","@AirAsiaSupport this is my pnr no LTN8SY. Mera ticket 5 July ka ta goa to Guwahati k leye.but airasia se message aya mera ticket cancel hua vol k .mujhe reshedule kar na hai .july date 2 or 3 or 4 or 5 ka ...air lines per phone recv nehi kar raha hai .mera booking q cancel keya","1277662882084225024","","AVA_airasia","in","","0","0","0","https://x.com/rufulahmed7861/status/1277662882084225024","3396102581","rufulahmed7861"
"1277658148195590148","Mon Jun 29 17:40:14 +0000 2020","0","@AirAsia sekarang dah xdak tiket pi penang dari melaka.kemon la","1277658148195590148","","airasia","in","air keroh malacca","0","0","0","https://x.com/wanshisha/status/1277658148195590148","110425517","wanshisha"
"1277639882920226817","Mon Jun 29 16:27:40 +0000 2020","0","member dah setengah tahun tak jumpa tunang ni airasia buat teruk pulak; cringe","1277639882920226817","","","in","Selangor Darul Awesome","0","0","0","https://x.com/afiqdiah/status/1277639882920226817","251978571","afiqdiah"
"1277463832223342592","Mon Jun 29 16:25:18 +0000 2020","0","@jayantzade AirAsia Link :- https://t.co/0d13nPzoBk https://t.co/DAKdU6IUD8 https://t.co/jq6HyqcrCf","1277639289585586177","","jayantzade","in","Gurgaon, India","0","0","0","https://x.com/makemytripcare/status/1277639289585586177","67537455","makemytripcare"
"1277623955147259909","Mon Jun 29 15:26:37 +0000 2020","1","Aku bersyukur gila tak terpengaruh dgn airasia unlimited pass. Kalau tak lagi rugi","1277624519721541634","","lit_rara","in","JHB-KUL","0","1","0","https://x.com/lit_rara/status/1277624519721541634","843798828490747904","lit_rara"
"1277592673424007168","Mon Jun 29 15:23:01 +0000 2020","0","@nadyajasmin @AirAsia @AirAsiaSupport Hahaha kami hari tu dalam sejam","1277623614347460609","","nadyajasmin","in","Malaysia","0","1","0","https://x.com/EynFloP/status/1277623614347460609","88220218","EynFloP"
"1277623352161562624","Mon Jun 29 15:21:58 +0000 2020","0","@AirAsia TADI HANTAR NOTICE FLIGHT CANCELLED BILA NAK MOVE FLIGHT TAK DAPAT SBB DAH CHECK IN SURUH LIVE CHAT LEPASTU NAK REQUEST CREDIT ACC CAKAP FLIGHT MASIH ACTIVE. REPLY PLEASE","1277623352161562624","","airasia","in","Arau, Perlis","0","0","0","https://x.com/nurulsyafierah/status/1277623352161562624","995823613","nurulsyafierah"
"1277618177510273025","Mon Jun 29 15:01:25 +0000 2020","0","Airasia (VisitTrulyAsia Malaysia 2020) Airbus A320-251N https://t.co/H5wOBcC4E8","1277618177510273025","","","in","3.089206,101.681233","0","0","0","https://x.com/johnkkho/status/1277618177510273025","63346145","johnkkho"
"1277615963186163712","Mon Jun 29 14:52:37 +0000 2020","1","Takguna AirAsia lepastu berapa byk tiket aku nak burn ni","1277615963186163712","","","in","Arau, Perlis","0","1","0","https://x.com/nurulsyafierah/status/1277615963186163712","995823613","nurulsyafierah"
"1277615134450438145","Mon Jun 29 14:49:19 +0000 2020","0","KO PE MASALAH BANYAK KALI NAK RESCHEDULE FLIGHT HAH @AirAsia","1277615134450438145","","","in","Kuala Lumpur","0","0","0","https://x.com/ainnasihahh/status/1277615134450438145","977992194","ainnasihahh"
"1277603584218021891","Mon Jun 29 14:03:25 +0000 2020","0","@AirAsia rekrut aku","1277603584218021891","","airasia","in","","0","0","0","https://x.com/abrianabitha/status/1277603584218021891","1212967729063292928","abrianabitha"
"1277599299732267009","Mon Jun 29 13:46:24 +0000 2020","3","Hallo warga Graha raya regency GlaD Bus akan hadir mulai Tanggal 1 Julli 2020. Jangan lupa download aplikasi GlaD @InfoGrahaRaya @DKIJakarta @Kabar_Tangsel @myrepublika @klubpengusaha @room_sonde @Pondokkacang @AirAsia_indo @Pondokjagung3 @bintarosmart @Kabar_Tangsel @bsd https://t.co/rJWeVElnkH","1277599299732267009","https://pbs.twimg.com/media/Ebrxx9BUwAAeyxd.jpg","","in","tangsel","0","2","0","https://x.com/BusGlad/status/1277599299732267009","1214257044754030598","BusGlad"
"1277596394170261505","Mon Jun 29 13:34:51 +0000 2020","2","Airasia","1277596394170261505","","","in","","0","0","0","https://x.com/Azrulnaimrusdin/status/1277596394170261505","984068329","Azrulnaimrusdin"
"1277466324336365568","Mon Jun 29 13:24:30 +0000 2020","0","@AirAsia_indo saya ada beli tiket dgn no pemesanan YZ394S di email ada info pembatalan tapi di status penerbangan masih aktif refund lewat ava tidak bisa gmn solusinya?","1277593787179532288","","airasia_indo","in","","0","0","0","https://x.com/bangmitra/status/1277593787179532288","26911462","bangmitra"
"1277442764372762625","Mon Jun 29 13:10:25 +0000 2020","0","@syaifulipuul @AirAsia wadu jadi mikir2 naik itu huhu","1277590245333102592","","syaifulipuul","in","Medellín, Colombia","0","1","0","https://x.com/pabloesgopar/status/1277590245333102592","2291187620","pabloesgopar"
"1276470363472486405","Mon Jun 29 12:16:18 +0000 2020","0","@AirAsia_indo Nape xde record bila tanya chat AVA apa yg xkena tlg bg contact yg senang berurusan jgn bg susah","1277576624100147200","","Reizki9","in","Kuala Lumpur, Wilayah Persekut","0","0","0","https://x.com/Reizki9/status/1277576624100147200","1267751180760801280","Reizki9"
